scale,variant,exam,mode,agree_nonnull,both_null,legacy_only,pair_only,letter_differs,legacy_strictcons,pair_strictcons
0.8B,base,2022 English,None,274,11,7,2,6,7,6
0.8B,base,2022 English,BM25,266,32,0,2,0,4,4
0.8B,base,2022 English,FAISS,268,27,1,4,0,2,2
0.8B,base,2022 Bangla,None,260,37,1,2,0,0,0
0.8B,base,2022 Bangla,BM25,220,57,13,9,1,3,3
0.8B,base,2022 Bangla,FAISS,216,68,7,9,0,1,1
0.8B,base,2023 English,None,286,10,2,2,0,3,3
0.8B,base,2023 English,BM25,267,30,1,0,2,0,0
0.8B,base,2023 English,FAISS,268,29,1,2,0,0,0
0.8B,base,2023 Bangla,None,260,36,2,2,0,0,0
0.8B,base,2023 Bangla,BM25,224,58,12,4,2,0,0
0.8B,base,2023 Bangla,FAISS,235,47,4,14,0,2,2
0.8B,ft,2022 English,None,280,0,16,0,4,22,20
0.8B,ft,2022 English,BM25,259,0,31,0,10,25,25
0.8B,ft,2022 English,FAISS,276,0,20,2,2,34,31
0.8B,ft,2022 Bangla,None,252,4,41,1,2,2,3
0.8B,ft,2022 Bangla,BM25,278,0,18,0,4,10,10
0.8B,ft,2022 Bangla,FAISS,277,0,18,2,3,8,9
0.8B,ft,2023 English,None,270,0,24,0,6,10,10
0.8B,ft,2023 English,BM25,270,0,19,2,9,25,22
0.8B,ft,2023 English,FAISS,253,0,40,0,7,21,19
0.8B,ft,2023 Bangla,None,256,0,40,2,2,8,6
0.8B,ft,2023 Bangla,BM25,267,0,30,1,2,19,16
0.8B,ft,2023 Bangla,FAISS,264,3,31,1,1,7,7
2B,base,2022 English,None,258,25,7,9,1,18,20
2B,base,2022 English,BM25,223,43,11,23,0,16,18
2B,base,2022 English,FAISS,234,30,3,32,1,18,21
2B,base,2022 Bangla,None,264,26,2,8,0,4,4
2B,base,2022 Bangla,BM25,194,56,8,38,4,4,4
2B,base,2022 Bangla,FAISS,202,59,4,33,2,6,6
2B,base,2023 English,None,272,17,1,10,0,13,13
2B,base,2023 English,BM25,232,38,4,24,2,16,19
2B,base,2023 English,FAISS,241,28,10,21,0,17,17
2B,base,2023 Bangla,None,260,27,2,11,0,3,4
2B,base,2023 Bangla,BM25,190,56,9,39,6,2,7
2B,base,2023 Bangla,FAISS,176,71,5,46,2,3,5
2B,ft,2022 English,None,218,2,44,1,35,18,15
2B,ft,2022 English,BM25,228,2,35,2,33,32,34
2B,ft,2022 English,FAISS,223,0,44,0,33,26,24
2B,ft,2022 Bangla,None,295,0,5,0,0,13,12
2B,ft,2022 Bangla,BM25,265,0,12,0,23,13,16
2B,ft,2022 Bangla,FAISS,283,2,13,0,2,12,12
2B,ft,2023 English,None,207,3,56,2,32,11,5
2B,ft,2023 English,BM25,189,0,63,1,47,24,19
2B,ft,2023 English,FAISS,237,0,30,1,32,28,28
2B,ft,2023 Bangla,None,296,1,3,0,0,9,9
2B,ft,2023 Bangla,BM25,260,0,14,0,26,19,19
2B,ft,2023 Bangla,FAISS,292,1,6,0,1,9,9
4B,base,2022 English,None,274,16,3,7,0,32,31
4B,base,2022 English,BM25,289,6,0,5,0,44,45
4B,base,2022 English,FAISS,287,7,2,3,1,46,45
4B,base,2022 Bangla,None,268,26,5,1,0,15,15
4B,base,2022 Bangla,BM25,277,10,5,8,0,16,17
4B,base,2022 Bangla,FAISS,279,12,6,3,0,14,13
4B,base,2023 English,None,269,20,7,4,0,29,29
4B,base,2023 English,BM25,293,3,0,2,2,40,39
4B,base,2023 English,FAISS,278,13,5,4,0,38,37
4B,base,2023 Bangla,None,266,30,2,2,0,14,14
4B,base,2023 Bangla,BM25,273,21,3,3,0,23,24
4B,base,2023 Bangla,FAISS,279,17,1,3,0,12,12
4B,ft,2022 English,None,169,1,65,7,58,23,15
4B,ft,2022 English,BM25,244,0,45,0,11,36,32
4B,ft,2022 English,FAISS,244,0,50,0,6,45,37
4B,ft,2022 Bangla,None,241,13,43,3,0,16,14
4B,ft,2022 Bangla,BM25,247,2,47,0,4,21,19
4B,ft,2022 Bangla,FAISS,231,1,65,1,2,10,8
4B,ft,2023 English,None,175,2,69,2,52,19,10
4B,ft,2023 English,BM25,214,0,71,0,15,37,28
4B,ft,2023 English,FAISS,229,1,60,0,10,34,23
4B,ft,2023 Bangla,None,248,16,31,2,3,14,13
4B,ft,2023 Bangla,BM25,243,0,51,1,5,24,19
4B,ft,2023 Bangla,FAISS,242,3,53,0,2,19,14
